Size (sq ft),Price ($)
1718,243540
2196,259202
1453,303024
1456,428615
2933,288227
2613,236630
2804,464065
2265,456555
2269,235277
1714,418167
2482,208660
1290,430220
2753,256935
2776,307261
2630,356155
2412,372833
2480,311078
1491,401681
2743,357735
2353,348148
2016,306348
1864,370897
1345,421056
2847,409126
2580,443076
2737,434413
2780,311276
2561,392214
2007,294626
1613,289093
1606,290273
2614,341195
1617,332115
2115,318530
2767,300167
2888,401084
2998,304773
1257,436194
1548,372125
2081,246164
2986,439299
1587,325882
2222,393235
2032,401571
2785,280178
1417,209259
1810,442612
1741,374648
2887,434473
1264,374591
2892,370121
2040,328678
1225,282679
2593,245929
2968,366402
2310,452948
2748,318430
1723,363406
1521,470791
1184,439833
1595,246712
2778,482640
2603,440528
1875,489170
2925,453487
2583,383131
2082,432567
2240,463530
2153,280862
2268,326342
1837,413625
2811,464528
1683,407457
1672,465007
2902,384073
2401,47735
